THE_CAPITAL_IS;Столица;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_colonial_country;Постколониальная нация;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mormon;Мормоны;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gypsy;Цыгане;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eugen_von_bohm_bawerk;Ойген фон Бём-Баверк;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eugen_von_bohm_bawerk_desc;Карьера Бёма-Баверка как ученого была непостоянной. Наиболее значительным периодом научной деятельности были его годы в университете Инсбрука (1881-1889). В 1880-х годах он впервые опубликовал два из трех томов своего великого опуса «Капитал и проценты». В его поздние годы большую часть времени он уделял своим обязанностям министра финансов Австрии, должность, которую он занимал в течение 1890-х годов, и за что он удостоен чести быть в сотне шиллингов Австрии. После гос. службы он вернулся к преподаванию в 1904 году. Получив кафедру в Венском университете, он стал коллегой Визера, преемника отставного Менгера. Среди студентов, которые прошли через университет в течение последнего десятилетия карьеры Бем-Баверка, были Джозеф Шумпетер и Людвиг фон Мизес.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
leon_walras;Леон Вальрас;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
leon_walras_desc;Французский экономист Леон Вальрас был провозглашен Жозефом Шумпетером как «величайший из всех экономистов». Вальрас был одним из трех лидеров маргиналистской революции, хотя его величайшая работа «Элементы чистой экономики» была опубликована в 1874 году, через три года после работ Уильяма Стэнли Джевонса и Карла Менгера. Тем не менее, один из трех революционеров, Леон Вальрас изложил новую «маржиналистскую» или «неоклассическую» теорию в формальном общем равновесии. Таким образом, он наделил это мультирыночными соображениями, которых в значительной степени избегал Джевонс, а также математической точностью, которую избегал Менгер. Леон Вальрас широко и по праву считается отцом теории общего равновесия.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jean_jaures;Жан Жорес;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jean_jaures_desc;"Жорес был избран в Палату депутатов в 1885 году. Побежденный на выборах 1889 года он вернулся в Тулузский университет. Он стал все более радикальным в своих политических взглядах, и после прочтения Карла Маркса он начал защищать социализм. Он не был революционером и поддерживал независимых социалистов. Выйдя из парламента, Жорес закончил свою гигантскую социалистическую историю французской революции. Он также присоединился к Аристиду Бриану и Рене Вивиани в 1904 году, чтобы создать левую газету ""Юманит"" в 1904 году. Новая Социалистическая партия при Жоресе быстро росла в начале века, но раскололась при попытке дать ответ на германский милитаризм. Жорес выступал за политику международного арбитража, тогда как другие поддерживали Тройственную Антанту.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
johann_heinrich_von_thunen;Иоганн фон Тюнен;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
johann_heinrich_von_thunen_desc;Иоганн Генрих фон Тюнен был северогерманским землевладельцем из области Мекленбург. Получив образование в Геттингене, он провел большую часть своей жизни, управляя своим сельским поместьем, Теллоу. В первом томе своего трактата «Изолированное государство» (1826) он изложил первый серьезный подход к пространственной экономике, связанный с теорией ренты. Его второй том (1850) развил сущность теории распределения предельной производительности математически точным способом, сделав тем самым одним из наиболее важных протомаргиналистов той эпохи. Ближе к смерти он попросил, чтобы его знаменитое уравнение для предельного продукта труда или естественной заработной платы было вырезано на его надгробии.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colorado_rebels_title;Колорадос;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colorado_rebels_name;Повстанцы Колорадос;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colorado_rebels_desc;Колорадос стремятся свергнуть правительство Бланко и создать собственную партию во власти.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
colorado_rebels_army;Повстанцы Колорадос;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blanco_rebels_title;Бланкос;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blanco_rebels_name;Повстанцы Бланкос;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blanco_rebels_desc;Бланкос стремятся свергнуть правительство Колорадо и создать собственную партию во власти.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blanco_rebels_army;Повстанцы Бланкос;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
separatist_rebels_title;Патриоты;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
separatist_rebels_name;$CULTURE$ Патриоты;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
separatist_rebels_desc;Повстанцы-патриоты мечтают об объединении со своими культурными родственниками под свободным знаменем, и любая провинция, над которой они получат контроль, в конечном итоге переместится в соседнюю страну их культуры.;;;;;;;;;;;;x,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
separatist_rebels_army;$CULTURE$ Патриоты;;;;;;;;;;;;x,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
afro_caribeno;Афролатинос;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOT_STRONGER_ARMY_THAN;Не имеет более мощную армию, чем;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STRONGER_ARMY_THAN;Имеет более мощную армию, чем;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
beiyang_faction;Фракция Бейян;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kuomintang_faction;Фракция Гоминьдана;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
neutral_faction;Нейтральная сторона;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
communist_faction;Фракция коммунистов;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mandatory_service;Служба по требованию;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mandatory_service_l;Служба по требованию;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mandatory_service_desc;Все взрослые мужчины должны служить в армии. Правительство может набирать призывников так долго, как того хочет.;All adult males must serve in the military.;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_mandatory_service;Движение за обязательный призыв;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
four_year_draft;4х-летний призыв;Four Year Draft;Four Year Draft;;Four Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
four_year_draft_l;4х-летний призыв;Four Year Draft;Four Year Draft;;Four Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
four_year_draft_desc;Призывники набираются на четыре года.;Conscripts are drafted for four years.;Conscripts are drafted for four years.;;Conscripts are drafted for four years.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_four_year_draft;Движение за 4х-летний призыв;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
two_year_draft;2х-летний призыв;Two Year Draft;Two Year Draft;;Two Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
two_year_draft_l;2х-летний призыв;Two Year Draft;Two Year Draft;;Two Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
two_year_draft_desc;Призывники набираются на два года.;Conscripts are drafted for two years.;Conscripts are drafted for two years.;;Conscripts are drafted for two years.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_two_year_draft;Движение за 2х-летний призыв;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
one_year_draft;Одногодичный призыв;One Year Draft;One Year Draft;;One Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
one_year_draft_l;Одногодичный призыв;One Year Draft;One Year Draft;;One Year Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
one_year_draft_desc;Призывники набираются на год.;Conscripts are drafted for one year.;Conscripts are drafted for one year.;;Conscripts are drafted for one year.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_one_year_draft;Движение за одногодичный призыв;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_draft;Нет призыва;No Draft;No Draft;;No Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_draft_l;Нет призыва;No Draft;No Draft;;No Draft;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_draft_desc;Нет призывной армии.;No conscription.;No conscription.;;No conscription.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
conscription;Призыв;Conscription;Conscription;;Conscription;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_no_draft;Движение за отмену призыва в армию;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes_slavery_desc;Рабство разрешено.\N§RЭта реформа влияет на шанс продвижения жителей по социальной лестнице - продвижение будет медленнее, как в глобальном масштабе, так и даже больше в рабовладельческих регионах.\n§YЖители рабовладельческих регионов будет более консервативными и менее либеральными. Иммигранты с меньшей вероятностью выберут рабовладельческие регионы. Рабство будет расти.;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freedom_of_womb;Свободорождение;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,x;;;;;;;;;;;;;;,,,;;;;;;;;;;;;;;;;
freedom_of_womb_l;Свободорождение;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,x;;;;;;;;;;;;;;,,,;;;;;;;;;;;;;;;;
freedom_of_womb_desc;Дети рабов освобождаются при рождении, и в большинстве случаев старые рабы также освобождаются. Население рабов перестает расти.\n§R Эта реформа влияет на шанс продвижения жителей - продвижение будет медленнее, как в глобальном масштабе, так и даже больше в рабовладельческих регионах.\n§YЖители рабовладельческих регионов будут более консервативными и менее либеральными. Иммигранты с меньшей вероятностью будут выбирать рабовладельческие регионы. Рабское население перестанет расти.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_freedom_of_womb;Кампания за свободорождение;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,x;;;;;;;;;;;;;;,,,;;;;;;;;;;;;;;;;
no_slavery;Запрещено;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_slavery_desc;Рабство запрещено;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
no_slavery_l;Запретить рабство;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
citizens_rights;Гражд. права;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
primary_culture_only;Права для 1ого сорта;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
primary_culture_only_l;Права только для основной культуры;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
primary_culture_only_desc;Только граждане первого сорта могут участвовать в политической жизни страны, все остальные группы отделены. Стать гражданином первого сорта крайне сложно.;;;;;;;;;x;;;;;;;;;;;;;;,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_primary_culture_only;Движение граждан первого сорта;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
culture_voting_only;Права для 2ого сорта;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
culture_voting_only_l;Права для всех признанных культур;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
culture_voting_only_desc;Лица, принадлежащие к признанной культуре страны, могут участвовать в ее политической жизни. Получение гражданства для них значительно облегчается.;;;;;;;;;;;;x,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_culture_voting_only;Движение за гражд. права признаных культур;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
all_voting_pops;Права для всех;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
all_voting_pops_l;Права для всех культур;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
all_voting_pops_desc;Все легальные иммигранты, независимо от культуры, имеют право голоса. Получение статуса гражданства для таких людей облегчается.;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_all_voting_pops;Лига за всеобщие гражд. права;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
border_policy;Граница;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
closed_borders;Закрытые границы;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;
closed_borders_l;Закрытые границы;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
closed_borders_desc;Людям запрещено въезжать и покидать нашу страну . Эффективность этой политики основана на нашей администрации и военных расходах. Некоторые люди все еще могут нелегально эмигрировать, переходя границу или прячась на кораблях. Завес секретности, который окутывает нашу страну, заставляет другие народы не доверять нам.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;
movement_closed_borders;Движение за защиту Отечества;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
quota_immigration;Иммигр. квоты;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;
quota_immigration_l;Иммигр. квоты;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;
quota_immigration_desc;Иностранным гражданам разрешено иммигрировать в нашу страну, если они имеют уровень грамотности выше 60% и не являются гражданами стран, которые недавно или в настоящее время находятся в состоянии войны с нашей страной. Для эмиграции ограничений нет.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;
movement_quota_immigration;Движение за иммиграционные квоты;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;
open_borders;Открытые границы;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
open_borders_l;Открытые границы;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
open_borders_desc;Наша страна полностью открыта для иммиграции и эмиграции благодаря реформе, либо из-за отсутствия надлежащего пограничного контроля.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,;;;;;;;;;;;;
movement_open_borders;Движение за разрешение иммиграции;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,;;;;;;;;;;;;
unemployment_subsidies;Безработица;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,;;;;;;;;;;;
safety_regulations;Безопасность;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor_illegal;Детский труд запрещен;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor_illegal_l;Детский труд запрещен;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor_illegal_desc;Детский труд считается аморальным и незаконным.;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_child_labor_child_labor_illegal;Кампания по легализации детского труда;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor_restricted;Детский труд ограничен;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor_restricted_l;Детский труд ограничен;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor_restricted_desc;Дети не могут работать в опасных профессиях.;Restricted;Restricted;;Restricted;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_child_labor_restricted;Кампания по ограничению детского труда;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor_legal;Детский труд разрешен;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor_legal_l;Детский труд разрешен;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor_legal_desc;Нет никакого регулирования детского труда;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
child_labor;Детский труд;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_child_labor_illegal;Движение за запрет детского труда;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
debt_law;Повинность;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
serfdom;Крепостное право;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
serfdom_l;Крепостное право;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
serfdom_desc;Крепостные привязаны к земле помещика, которому они подчиняются. Они вынуждены работать на полях согласно феодальной системе. \ N§RЭта реформа влияет на шанс продвижения жителя по социальной лестнице - продвижение будет медленнее.§W\n§YЭта реформа задействует Крепостных - бедные жители будут понижаться до Крепостных и не выйдут из крепостного права, пока оно не будет отменено.§W;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_serfdom;Лига крепостничества;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
peonage;Пеонаж;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
peonage_l;Пеонаж;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
peonage_desc;Пеонаж - это долговая система, при которой должник вынужден отрабатывать свой долг, что часто приводит к вечному циклу невольного труда.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_peonage;Кампания за отмену крепостного права;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
debtors_prisons;Долговые ямы;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
debtors_prisons_l;Долговые ямы;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
debtors_prisons_desc;Должники заключены в тюрьму до тех пор, пока их долг не будет погашен.§W\n§YЭта реформа нейтральна и не несет никаких последствий .§W;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_debtors_prisons;Движение за отмену пеонажа;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bankruptcy;Банкротство;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bankruptcy_l;Банкротство;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bankruptcy_desc;Должникам разрешается объявлять банкротство, а их предыдущие долги объявляются недействительными.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
movement_bankruptcy;Движение за отмену долговых ям;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
capital_punishment;Смертная казнь;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
